'Configuration Parameter:;"Decimal separator: , List separator: ; ";Layout Version V6.2;WinCC Version K7.0.3.5
'Var Version V1.0;
'Varname;Conn;Group;Spec;Flag;CTyp;CLen;CPro;CFor;P1;P2;P3;P4;P5;P6;L1;L2;L3;L4;L5;L6;L7;L8;LF1;LF2;LF3;LF4;SCF;SPU;SPO;SVU;SVO;Creator-ID
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ia;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400249";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ib;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400251";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ic;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400253";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ua;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400255";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ub;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400257";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Uc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400259";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Uab;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400261";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Ubc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400263";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Uca;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400265";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Pa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400267";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Pb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400269";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Pc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400271";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Qa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400273";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Qb;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400275";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Qc;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400277";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZRU6_ZRU6_EvalPar_Cell1_PM130_Sa;ZRU6_ZRU6;EvalPar_ZRU6_ZRU6;"3x400279";0;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
