"Item Location","Name","Simulate","Simulation Signal","Location Type","Read Access","Write Access","Starting Address","Bit Field","Bit Number","Bit Count","Modbus Type","Data Length","Vector","Number of elements","Manual","Manual Value","Use conversion","Conversion","Message Prefix","Generate Alarms","Limit Alarm Def.","Digital Alarm Def.","EU Units","Description","Close Label","Open Label","Default Display","Foreground Color","Background Color","Blink","BMP File","Sound File","HTML File","AVI File","Monitor","Associated","Associated type","Association","&Device	Ctrl+D","Master Tag","Code Number","Number of a Code"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ia","No","","Holding Register (word, r/w)","Yes","No","249","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ib","No","","Holding Register (word, r/w)","Yes","No","251","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ic","No","","Holding Register (word, r/w)","Yes","No","253","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ua","No","","Holding Register (word, r/w)","Yes","No","255","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ub","No","","Holding Register (word, r/w)","Yes","No","257","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Uc","No","","Holding Register (word, r/w)","Yes","No","259","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Uab","No","","Holding Register (word, r/w)","Yes","No","261","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Ubc","No","","Holding Register (word, r/w)","Yes","No","263","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Uca","No","","Holding Register (word, r/w)","Yes","No","265","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
"\\Address Space\OPC_SERVER\Virtual_Box\EvalPar_ZRU6_ZRU6","ZRU6_ZRU6_EvalPar_Cell1_PM130_Pa","No","","Holding Register (word, r/w)","Yes","No","267","No","0","1","REAL","10","No","20","No","","Yes","None (to/from float)","","No","","","","","","","","0","0","No","","","","","Yes","No","1","","","No","No","0"
